node_id,lat,lon,name,amenity
6326792085,28.6467321,77.1893103,Kitchen with a cause,restaurant
6328795085,28.6317221,77.22247,Bagundi,restaurant
6334153145,28.6177455,77.2249545,,toilets
6340904485,28.6471993,77.2359366,Dilpasand Byriani Taufiq Byriani Wala,fast_food
6362098884,28.6184753,77.2488783,,fuel
6362099785,28.6177807,77.2490496,,fuel
6369776586,28.6407442,77.211775,German Bakery,restaurant
6371864606,28.62351,77.2343081,,waste_basket
6371937737,28.6327737,77.2231872,,toilets
6371968794,28.6319359,77.2218514,,toilets
6385537592,28.6228871,77.2118773,,atm
6385537606,28.6198985,77.2106056,Canara Bank,bank
6404118985,28.6309899,77.2218384,Cha Point,cafe
6404118987,28.6336834,77.2219946,,charging_station
6404118988,28.6336127,77.2218452,,charging_station
6470072750,28.622931,77.2119161,,bank
6470072751,28.6260798,77.215349,Free Church,place_of_worship
6470184609,28.632288,77.2154512,,drinking_water
6470184610,28.6176049,77.2125392,,toilets
6470184614,28.6175605,77.2125512,,atm
6487154686,28.6440465,77.2124248,Amazing chole stand,fast_food
6495330848,28.6345172,77.2195629,,bank
6495330860,28.6343239,77.2194607,Cafe Coffee Day,cafe
6495330865,28.6345005,77.2195627,,atm
6495330869,28.6337981,77.218344,Moti Masjid,place_of_worship
6495330876,28.6342867,77.2192258,Zen,restaurant
6495346837,28.6336036,77.2178165,Cafe Coffee Day,cafe
6495346838,28.6342817,77.2190663,The Big Chill,restaurant
6507308684,28.6413146,77.2052725,,atm
6539240956,28.6247978,77.2193397,,waste_basket
6539240959,28.6265092,77.2188023,,toilets
6539240960,28.6248542,77.2190859,,toilets
6539240961,28.6248081,77.2193721,,atm
6539240962,28.6247552,77.219051,Western Court Taxi Service,taxi
6563068182,28.626386,77.2071519,,toilets
6563073807,28.6283492,77.2064069,,toilets
6566929640,28.6337417,77.2162906,Dargah Shah Abdul Salam Faridi (RA),place_of_worship
6566966468,28.6343601,77.2182711,Life Cafe,restaurant
6578719285,28.6291732,77.2195742,Beer Cafe,bar
6615180727,28.6392225,77.2452524,Gandhi Hindustani Sahitya Sabha,arts_centre
6657141286,28.6409128,77.2136434,Bistrot 55,restaurant
6657891769,28.6241976,77.2343844,Bahumukh,theatre
6676143713,28.6305595,77.2212797,The Art House Cafe,restaurant
6676417797,28.6307089,77.222185,,atm
6676417798,28.630998,77.2224344,Smartbike,bicycle_rental
6707994776,28.634703,77.2205246,Shake Square,restaurant
6734411085,28.6405754,77.2117485,Open Hand Cafe (top top ;),cafe
6741865619,28.6473546,77.1879785,,bank
6741865643,28.643686,77.1882167,The Feast House,restaurant
6747122385,28.6412833,77.2348042,,bicycle_rental
6761961056,28.6340786,77.2203569,,charging_station
6761961057,28.6338129,77.2208289,,charging_station
6761961064,28.6347463,77.2201976,Halka Fulka,fast_food
6761961065,28.6347196,77.2202579,Giani's,ice_cream
6792923897,28.6209452,77.2180853,Sorento,restaurant
6796761497,28.612815,77.2311144,India Gate Fountain,fountain
6796762086,28.6130744,77.2311379,,fountain
6796762087,28.6125274,77.2311055,,fountain
6814370612,28.6288935,77.2187659,"34, Chowringhee Lane",fast_food
6814370613,28.6288925,77.2186728,DePaul's,cafe
6832945792,28.6357869,77.2189634,,toilets
6832945794,28.6346593,77.2218033,,bank
6846243985,28.6406954,77.2113562,,toilets
6853514732,28.6147162,77.2339362,,bench
6853514737,28.6147919,77.2337625,,waste_basket
6885031739,28.636617,77.2173697,Northern Railway Central Hospital Blood Bank,blood_bank
6885031740,28.6354223,77.2131895,Sucheta Kriplani Hospital Blood Bank,blood_bank
6885031749,28.6417112,77.2053896,Delhi Heart and Lung Institute Blood Bank,blood_bank
6885031762,28.6381566,77.1894345,Sir Ganga Ram Hospital Blood Bank,blood_bank
6888422313,28.6185924,77.2107795,"Indian Red Cross Society (IRCS) Blood Bank, Central Delhi",blood_bank
6895185775,28.6264844,77.2006997,Dr. Ram Manohar Lohia Hospital Blood Bank,blood_bank
6898010185,28.6307263,77.2174194,Mcdonald,fast_food
6930119560,28.6400648,77.204746,,toilets
6930339498,28.633435,77.2008328,Navyug School,school
